build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T12:36:16Z","9687544961","3722960","52.851374","0.020293"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T12:37:14Z","72354705879","25957458","28.305004","0.010154"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T12:44:28Z","7893315406","48301726","16.216737","0.098916"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T12:45:14Z","11980294943","12119829","42.736879","0.043207"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T12:46:26Z","81620297288","150126271","25.091866","0.046041"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T12:54:35Z","7875471264","11405271","16.253023","0.023518"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T12:55:20Z","6853421751","8583853","74.707301","0.093425"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T12:56:03Z","40134708225","29081531","51.028174","0.036958"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T13:00:04Z","2875675775","18744914","44.512789","0.290021"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T13:00:22Z","7102990302","13350239","72.082521","0.135512"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T13:01:05Z","41215488396","18078918","49.690065","0.021798"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T13:05:12Z","3031929967","12874840","42.217944","0.179508"
