build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T12:01:24Z","20518039118","13100978","24.953660","0.015923"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T12:03:28Z","115547470353","54132819","17.724320","0.008302"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T12:15:01Z","7627707514","10604657","16.780953","0.023350"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T12:15:41Z","11991037544","17918268","42.698633","0.063737"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T12:16:53Z","81558499642","24952901","25.110812","0.007681"
"555881eb","10121","CPU","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T12:25:03Z","7783537649","28497005","16.445141","0.060139"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T12:25:42Z","7744465648","4196556","66.111743","0.035828"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T12:26:29Z","43761535909","16227988","46.799094","0.017352"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T12:30:51Z","2962017564","15478524","43.214730","0.225358"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T12:31:10Z","7093537030","4300129","72.178400","0.043733"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T12:31:52Z","41209622946","18505421","49.697138","0.022307"
"555881eb","10121","CPU","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T12:36:00Z","2998452140","12777481","42.689313","0.182019"
