build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T07:24:53Z","34188373449","57234392","14.975885","0.025051"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T07:28:18Z","142109565615","204776187","14.411439","0.020743"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/llama-3.2-3b-iq4_xs.gguf","llama 3B IQ4_XS - 4.25 bpw","1821272320","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T07:42:31Z","10659652001","57172444","12.008172","0.064087"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T07:43:26Z","17798202112","24142342","28.766993","0.038989"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T07:45:13Z","77500091931","107188367","26.425816","0.036521"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/llama-3.2-3b-q4_k_m.gguf","llama 3B Q4_K - Medium","2011539712","3212749888","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T07:52:58Z","7863854838","29553992","16.277188","0.061073"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T07:53:38Z","13247275518","9412566","38.649472","0.027451"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T07:54:57Z","55335337328","116499302","37.010839","0.077797"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/olmoe-1b-7b-iq4_xs.gguf","olmoe A1.7B IQ4_XS - 4.25 bpw","3713320960","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T08:00:29Z","4261403638","4760843","30.037081","0.033549"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","512","0","0","2026-07-25T08:00:54Z","8265274259","10428710","61.945997","0.078174"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","2048","0","0","2026-07-25T08:01:44Z","35644669413","27671379","57.456024","0.044601"
"555881eb","10121","AMD EPYC 9V74 80-Core Processor","","CPU","models/olmoe-1b-7b-q4_k_m.gguf","olmoe A1.7B Q4_K - Medium","4211730432","6919161856","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","128","0","2026-07-25T08:05:18Z","3130901544","37915683","40.887593","0.495444"
